fid	year	quarter	date_receipt	s40	code_period	code_present_place
158557	2019	1	2019-04-15	0	21	214
162463	2019	1	2019-04-05	0	21	214
164861	2019	1	2019-04-25	705595	21	214
176233	2019	1	2019-04-17	0	21	214
182000	2019	1	2019-04-25	0	21	214
186170	2019	1	2019-04-08	0	21	214
8797	2019	1	2019-04-09	0	21	214
15190	2019	1	2019-04-04	0	21	214
20164	2019	1	2019-04-21	72507	21	214
21312	2019	1	2019-07-04	53575	21	214
23029	2019	1	2019-04-15	0	21	214
26572	2019	1	2019-04-03	0	21	214
33806	2019	1	2019-04-19	0	21	214
33880	2019	1	2019-04-09	0	21	214
36929	2019	1	2019-04-25	3523802	21	214
38065	2019	1	2019-04-17	5137	21	214
38147	2019	1	2019-04-02	0	21	214
40881	2019	1	2019-04-15	0	21	214
42575	2019	1	2019-04-22	0	21	214
46740	2019	1	2019-04-19	0	21	214
65648	2019	1	2019-04-11	0	21	214
66021	2019	1	2019-04-08	82645	21	214
69533	2019	1	2019-12-17	11759	21	214
79508	2019	1	2019-04-25	48332	21	214
82093	2019	1	2019-04-19	0	21	214
84748	2019	1	2020-01-27	1307635	21	214
104068	2019	1	2019-04-15	0	21	214
104459	2019	1	2019-06-19	0	21	214
111824	2019	1	2019-06-14	0	21	214
111883	2019	1	2019-12-27	125400	21	214
112259	2019	1	2019-04-15	52347	21	214
125896	2019	1	2019-04-24	50000	21	214
128501	2019	1	2019-04-25	7279263	21	214
152170	2019	1	2019-06-24	298596	21	214
157963	2019	1	2019-04-25	0	21	214
164514	2019	1	2019-04-16	0	21	214
165405	2019	1	2019-04-09	0	21	214
165580	2019	1	2019-04-15	0	21	214
168854	2019	1	2019-04-23	0	21	214
184078	2019	1	2019-04-23	291605	21	214
184968	2019	1	2019-11-12	277021	21	214
189608	2019	1	2019-06-06	14802	21	214
18632	2019	1	2021-01-18	1980	21	214
24712	2019	1	2019-04-25	30697	21	214
27890	2019	1	2019-04-25	0	21	214
40685	2019	1	2019-04-23	0	21	214
47070	2019	1	2019-04-15	0	21	214
50436	2019	1	2019-04-15	0	21	214
58567	2019	1	2020-04-21	222093	21	214
61753	2019	1	2020-02-26	5048982	21	214
71094	2019	1	2019-04-16	60865	21	214
71432	2019	1	2019-04-25	0	21	214
72927	2019	1	2019-04-16	0	21	214
78862	2019	1	2019-07-08	70142	21	214
90708	2019	1	2019-04-12	0	21	214
94969	2019	1	2019-05-28	0	21	214
98696	2019	1	2019-04-16	0	21	214
99115	2019	1	2019-04-29	100	21	214
102396	2019	1	2019-04-15	0	21	231
108864	2019	1	2019-04-16	0	21	214
111292	2019	1	2019-04-11	0	21	214
117513	2019	1	2019-04-11	0	21	214
120327	2019	1	2019-04-08	15460	21	214
127185	2019	1	2019-04-03	17853	21	214
128877	2019	1	2019-07-17	801186	21	214
130643	2019	1	2019-10-11	0	21	214
139101	2019	1	2019-04-25	117082	21	214
140718	2019	1	2019-04-19	29644	21	214
156948	2019	1	2019-04-04	0	21	214
169404	2019	1	2019-04-25	476167	21	214
169899	2019	1	2020-04-16	22313127	21	214
176791	2019	1	2019-07-21	0	21	214
176917	2019	1	2020-07-09	13951253	21	214
188770	2019	1	2019-04-08	0	21	214
198164	2019	1	2019-04-24	36487	21	214
5043	2019	1	2019-10-17	6261033	21	214
7496	2019	1	2019-04-22	87637	21	214
36335	2019	1	2019-04-15	0	21	214
48394	2019	1	2019-04-02	0	21	214
49747	2019	1	2019-04-15	0	21	214
53703	2019	1	2019-06-11	21069	21	214
58149	2019	1	2019-04-24	26658	21	214
59509	2019	1	2019-04-18	36	21	214
67166	2019	1	2019-04-24	0	21	214
71735	2019	1	2019-04-18	0	21	214
92317	2019	1	2019-04-09	0	21	214
93270	2019	1	2019-09-30	9649	21	214
111206	2019	1	2020-01-22	5142	21	214
115839	2019	1	2019-04-11	116553	21	214
116376	2019	1	2019-04-24	289308	21	214
139050	2019	1	2019-04-16	0	21	214
143451	2019	1	2019-04-24	26006	21	214
153562	2019	1	2019-04-16	0	21	214
154627	2019	1	2019-09-19	7875	21	214
159875	2019	1	2019-04-24	72892	21	214
169948	2019	1	2019-04-24	366045	21	214
172063	2019	1	2019-04-16	0	21	214
197234	2019	1	2019-04-24	1979387	21	214
4936	2019	1	2019-04-23	1248333	21	214
9078	2019	1	2019-04-24	1635	21	214
11617	2019	1	2019-04-23	11753286	21	214
15917	2019	1	2019-04-23	8366	21	214
19638	2019	1	2019-04-24	240678	21	214
22600	2019	1	2019-04-24	0	21	214
28802	2019	1	2019-04-08	0	21	214
40894	2019	1	2019-09-10	0	21	214
50123	2019	1	2019-04-25	2692832	21	214
50964	2019	1	2019-04-04	0	21	214
59668	2019	1	2019-04-23	25680	21	214
67702	2019	1	2019-04-24	16067	21	214
70912	2019	1	2019-04-22	1066	21	214
76394	2019	1	2019-11-01	11552	21	214
82632	2019	1	2019-04-09	0	21	214
93981	2019	1	2019-12-04	4904	21	214
102799	2019	1	2019-04-23	27496	21	214
129565	2019	1	2019-04-08	0	21	214
131568	2019	1	2019-04-15	0	21	214
152206	2019	1	2019-08-01	0	21	214
157315	2019	1	2019-04-08	0	21	214
164225	2019	1	2019-04-25	44676	21	214
167725	2019	1	2019-04-24	298769	21	214
183636	2019	1	2019-12-02	40641	21	214
187937	2019	1	2019-04-25	55201	21	214
195379	2019	1	2019-04-22	0	21	214
196262	2019	1	2019-04-25	123430	21	214
10332	2019	1	2019-11-15	75760	21	214
19131	2019	1	2019-04-17	0	21	214
21728	2019	1	2019-08-05	0	21	214
23273	2019	1	2019-04-05	0	21	214
23635	2019	1	2019-10-04	2652575	21	214
32057	2019	1	2019-04-25	0	21	214
35119	2019	1	2019-04-24	109683	21	214
39331	2019	1	2019-04-25	91243	21	214
47972	2019	1	2019-04-10	0	21	214
62332	2019	1	2019-07-21	4833	21	214
72860	2019	1	2020-03-19	559057	21	214
92732	2019	1	2019-04-25	15066174	21	214
111869	2019	1	2019-04-24	0	21	214
125161	2019	1	2019-04-29	0	21	214
126104	2019	1	2019-04-08	0	21	214
130662	2019	1	2019-04-22	0	21	214
132737	2019	1	2019-08-07	0	21	214
137132	2019	1	2019-07-26	41589	21	214
138899	2019	1	2019-04-23	0	21	214
147365	2019	1	2019-04-19	3148510	21	214
150213	2019	1	2019-04-24	8561908	21	214
155876	2019	1	2019-04-02	0	21	214
162473	2019	1	2019-04-05	0	21	214
163323	2019	1	2020-04-22	0	21	214
165203	2019	1	2019-04-04	0	21	214
166363	2019	1	2019-06-07	108944	21	214
179793	2019	1	2019-06-04	462945	21	214
1343	2019	1	2019-04-22	0	21	214
18999	2019	1	2019-09-20	1655496	21	214
22555	2019	1	2019-04-04	0	21	214
30772	2019	1	2020-10-19	3369	21	214
34604	2019	1	2019-04-10	0	21	214
36821	2019	1	2019-04-16	0	21	214
51240	2019	1	2019-04-13	683242	21	214
58136	2019	1	2019-04-24	0	21	214
67256	2019	1	2019-04-16	0	21	214
69101	2019	1	2020-11-09	194833812	21	213
73713	2019	1	2019-04-15	0	21	214
80558	2019	1	2019-04-20	11114	21	214
84615	2019	1	2019-04-24	0	21	214
98750	2019	1	2019-11-15	16	21	214
101340	2019	1	2019-07-29	129659	21	214
102506	2019	1	2019-04-08	0	21	214
109769	2019	1	2019-04-25	0	21	214
112728	2019	1	2019-06-18	408756	21	214
116373	2019	1	2019-04-04	0	21	214
118958	2019	1	2019-04-25	0	21	214
122341	2019	1	2019-04-24	12553012	21	214
126713	2019	1	2019-04-24	21702117	21	214
130265	2019	1	2019-04-04	0	21	214
130291	2019	1	2019-04-04	0	21	214
136303	2019	1	2019-04-25	170700	21	214
143398	2019	1	2019-04-25	11019300	21	214
147382	2019	1	2019-04-04	0	21	214
156003	2019	1	2019-07-02	56171	21	214
157092	2019	1	2019-04-17	3056	21	214
161196	2019	1	2019-04-11	10836	21	214
173414	2019	1	2019-04-05	0	21	214
176877	2019	1	2019-04-15	0	21	214
197579	2019	1	2019-11-25	125015	21	214
18034	2019	1	2019-04-15	0	21	214
18356	2019	1	2019-04-24	49673	21	214
34559	2019	1	2019-04-25	284280	21	214
38239	2019	1	2019-06-18	0	21	214
48763	2019	1	2019-04-17	0	21	214
52500	2019	1	2019-04-20	0	21	214
57378	2019	1	2019-04-04	1135	21	214
60902	2019	1	2019-07-02	2033422	21	214
61640	2019	1	2019-04-22	0	21	214
61860	2019	1	2019-04-23	18001	21	214
62340	2019	1	2019-04-07	3362	21	214
64952	2019	1	2019-04-24	0	21	214
76695	2019	1	2019-04-16	873642	21	214
86594	2019	1	2019-12-09	0	21	214
92225	2019	1	2020-03-16	5809302	21	214
113842	2019	1	2019-06-20	160196	21	214
120346	2019	1	2019-12-26	2399	21	214
122799	2019	1	2019-04-23	3645097	21	214
128361	2019	1	2019-04-02	0	21	214
138056	2019	1	2019-04-10	0	21	214
141011	2019	1	2019-04-10	0	21	214
142070	2019	1	2019-04-24	124440	21	214
161291	2019	1	2019-04-25	0	21	214
164602	2019	1	2020-03-26	10497	21	214
168826	2019	1	2020-02-17	32710318	21	214
185822	2019	1	2019-10-25	69441	21	214
190367	2019	1	2019-04-24	56875	21	214
194435	2019	1	2019-04-01	0	21	214
197922	2019	1	2019-04-24	5970	21	214
16521	2019	1	2019-04-15	0	21	214
31993	2019	1	2019-04-25	1886782	21	214
32471	2019	1	2019-04-25	75491	21	214
34793	2019	1	2019-04-10	0	21	214
35809	2019	1	2019-04-25	423	21	214
39316	2019	1	2020-12-07	67101	21	214
49711	2019	1	2019-04-18	0	21	214
51028	2019	1	2019-04-15	148201	21	214
57418	2019	1	2019-04-05	0	21	214
59911	2019	1	2019-04-24	6645	21	214
67314	2019	1	2019-04-16	0	21	214
74808	2019	1	2019-10-11	912113	21	214
77398	2019	1	2019-04-22	131832	21	214
78595	2019	1	2019-04-23	233040	21	214
89175	2019	1	2019-04-16	0	21	214
92654	2019	1	2019-04-05	0	21	214
92730	2019	1	2019-04-23	0	21	214
102394	2019	1	2019-04-23	0	21	214
119453	2019	1	2019-10-29	2009414	21	214
130981	2019	1	2019-04-25	3476	21	214
137942	2019	1	2019-04-18	0	21	214
138694	2019	1	2019-04-05	0	21	214
147588	2019	1	2019-04-25	566582	21	214
165181	2019	1	2019-07-11	0	21	214
166222	2019	1	2020-02-19	955653	21	214
167909	2019	1	2019-08-01	166390	21	214
177279	2019	1	2019-04-23	0	21	214
178068	2019	1	2019-04-10	0	21	214
178629	2019	1	2019-04-17	0	21	214
180827	2019	1	2019-04-05	0	21	214
182843	2019	1	2019-04-08	0	21	214
188625	2019	1	2019-04-04	0	21	214
199617	2019	1	2019-04-29	1831	21	214
199624	2019	1	2019-04-16	247395	21	214
11155	2019	1	2019-04-25	295696	21	214
36341	2019	1	2019-04-15	0	21	214
37018	2019	1	2019-04-25	230999	21	214
39686	2019	1	2019-04-25	3578	21	214
46785	2019	1	2019-04-22	4681102	21	214
50327	2019	1	2019-04-15	0	21	214
72933	2019	1	2019-04-17	0	21	214
73783	2019	1	2019-04-24	664745	21	214
79929	2019	1	2019-04-25	130457	21	214
80577	2019	1	2019-04-18	0	21	214
98843	2019	1	2020-02-16	2000	21	214
112391	2019	1	2019-04-25	18466	21	214
121251	2019	1	2019-04-29	0	21	214
122552	2019	1	2019-04-08	254997	21	331
124430	2019	1	2019-08-02	455677	21	214
130727	2019	1	2019-04-11	0	21	214
132696	2019	1	2019-04-22	3951	21	214
146822	2019	1	2019-08-09	0	21	214
147967	2019	1	2019-04-23	6176	21	214
158184	2019	1	2019-04-23	5	21	214
160579	2019	1	2019-04-22	0	21	214
166108	2019	1	2020-04-20	26499525	21	214
173586	2019	1	2019-06-07	1024441	21	214
175145	2019	1	2019-04-23	2560104	21	214
190515	2019	1	2020-07-17	0	21	214
193237	2019	1	2019-04-25	2125773	21	214
13071	2019	1	2019-04-22	97941	21	214
32240	2019	1	2019-05-13	3784421	21	214
46935	2019	1	2020-02-07	124421	21	213
47978	2019	1	2019-04-14	0	21	214
50394	2019	1	2019-06-19	166098	21	214
59126	2019	1	2019-08-14	17480	21	214
61436	2019	1	2020-02-20	21194610	21	214
61496	2019	1	2019-04-24	290513	21	214
65209	2019	1	2019-04-16	0	21	214
78056	2019	1	2019-10-25	0	21	214
80871	2019	1	2019-04-25	254	21	214
85850	2019	1	2019-06-17	56402	21	214
91569	2019	1	2019-04-03	0	21	214
91741	2019	1	2019-04-19	0	21	214
97792	2019	1	2019-04-12	9763	21	214
98824	2019	1	2019-04-11	0	21	214
100648	2019	1	2019-04-15	0	21	214
106276	2019	1	2019-04-25	0	21	214
107429	2019	1	2019-04-18	15664	21	214
123451	2019	1	2019-04-23	0	21	214
126089	2019	1	2019-04-30	0	21	214
130554	2019	1	2020-08-27	17804	21	214
130708	2019	1	2019-04-16	0	21	214
135002	2019	1	2019-04-04	0	21	214
143029	2019	1	2019-04-18	425553	21	214
145047	2019	1	2019-04-29	33820	21	214
150033	2019	1	2019-04-04	0	21	214
151432	2019	1	2019-04-16	0	21	214
163585	2019	1	2019-04-25	46671	21	214
175799	2019	1	2019-04-11	2685	21	214
177247	2019	1	2019-04-25	0	21	214
178078	2019	1	2019-04-15	0	21	214
183540	2019	1	2019-04-16	2896	21	214
190200	2019	1	2019-04-15	1130	21	214
198977	2019	1	2019-04-04	0	21	214
9410	2019	1	2020-07-08	66847	21	214
13119	2019	1	2019-04-24	0	21	214
20007	2019	1	2019-04-22	0	21	214
22892	2019	1	2019-04-22	0	21	214
23195	2019	1	2019-04-09	0	21	214
24368	2019	1	2019-04-19	0	21	214
40896	2019	1	2019-04-15	0	21	214
41157	2019	1	2019-04-11	0	21	214
41633	2019	1	2019-04-25	187668	21	214
50298	2019	1	2019-04-15	0	21	214
58441	2019	1	2019-04-04	0	21	214
67619	2019	1	2019-04-16	0	21	214
69257	2019	1	2019-04-25	138301	21	214
73102	2019	1	2019-04-23	0	21	214
85217	2019	1	2019-04-16	0	21	214
91427	2019	1	2019-07-30	188645	21	214
104025	2019	1	2020-01-21	4530	21	214
112417	2019	1	2019-04-11	0	21	214
114894	2019	1	2019-04-09	28295	21	214
117724	2019	1	2019-04-24	43364	21	214
138280	2019	1	2019-04-25	0	21	214
139246	2019	1	2019-04-25	1203969	21	214
146688	2019	1	2019-04-12	0	21	214
147408	2019	1	2019-04-17	0	21	214
147514	2019	1	2019-04-02	0	21	214
154830	2019	1	2019-04-10	0	21	214
173775	2019	1	2019-04-24	2670595	21	214
